2025-01-20 21:03:36,795 Test: [1/60]	Model Time 0.046 (0.046)	Loss Time 0.000 (0.000)	Loss 0.2169 (0.1942)	Prec@1 81.250 (82.812)	Prec@3 96.875 (98.438)	
2025-01-20 21:03:36,852 Test: [2/60]	Model Time 0.048 (0.046)	Loss Time 0.000 (0.000)	Loss 0.2300 (0.2061)	Prec@1 84.375 (83.333)	Prec@3 96.875 (97.917)	
2025-01-20 21:03:36,906 Test: [3/60]	Model Time 0.045 (0.046)	Loss Time 0.000 (0.000)	Loss 0.3948 (0.2533)	Prec@1 65.625 (78.906)	Prec@3 90.625 (96.094)	
2025-01-20 21:03:36,953 Test: [4/60]	Model Time 0.038 (0.045)	Loss Time 0.000 (0.000)	Loss 0.2139 (0.2454)	Prec@1 87.500 (80.625)	Prec@3 100.000 (96.875)	
2025-01-20 21:03:37,009 Test: [5/60]	Model Time 0.047 (0.045)	Loss Time 0.000 (0.000)	Loss 0.1872 (0.2357)	Prec@1 87.500 (81.771)	Prec@3 96.875 (96.875)	
2025-01-20 21:03:37,058 Test: [6/60]	Model Time 0.040 (0.044)	Loss Time 0.000 (0.000)	Loss 0.2051 (0.2313)	Prec@1 84.375 (82.143)	Prec@3 96.875 (96.875)	
2025-01-20 21:03:37,112 Test: [7/60]	Model Time 0.045 (0.044)	Loss Time 0.000 (0.000)	Loss 0.3066 (0.2407)	Prec@1 78.125 (81.641)	Prec@3 96.875 (96.875)	
2025-01-20 21:03:37,161 Test: [8/60]	Model Time 0.040 (0.044)	Loss Time 0.000 (0.000)	Loss 0.2193 (0.2384)	Prec@1 84.375 (81.944)	Prec@3 100.000 (97.222)	
2025-01-20 21:03:37,215 Test: [9/60]	Model Time 0.044 (0.044)	Loss Time 0.000 (0.000)	Loss 0.3344 (0.2480)	Prec@1 59.375 (79.688)	Prec@3 100.000 (97.500)	
2025-01-20 21:03:37,265 Test: [10/60]	Model Time 0.041 (0.044)	Loss Time 0.000 (0.000)	Loss 0.1599 (0.2400)	Prec@1 87.500 (80.398)	Prec@3 96.875 (97.443)	
2025-01-20 21:03:37,318 Test: [11/60]	Model Time 0.044 (0.044)	Loss Time 0.000 (0.000)	Loss 0.2660 (0.2421)	Prec@1 84.375 (80.729)	Prec@3 96.875 (97.396)	
2025-01-20 21:03:37,366 Test: [12/60]	Model Time 0.039 (0.043)	Loss Time 0.000 (0.000)	Loss 0.1952 (0.2385)	Prec@1 84.375 (81.010)	Prec@3 100.000 (97.596)	
2025-01-20 21:03:37,418 Test: [13/60]	Model Time 0.044 (0.043)	Loss Time 0.000 (0.000)	Loss 0.1408 (0.2315)	Prec@1 87.500 (81.473)	Prec@3 100.000 (97.768)	
2025-01-20 21:03:37,466 Test: [14/60]	Model Time 0.039 (0.043)	Loss Time 0.000 (0.000)	Loss 0.2780 (0.2346)	Prec@1 78.125 (81.250)	Prec@3 96.875 (97.708)	
2025-01-20 21:03:37,518 Test: [15/60]	Model Time 0.043 (0.043)	Loss Time 0.000 (0.000)	Loss 0.3492 (0.2418)	Prec@1 78.125 (81.055)	Prec@3 96.875 (97.656)	
2025-01-20 21:03:37,567 Test: [16/60]	Model Time 0.040 (0.043)	Loss Time 0.000 (0.000)	Loss 0.2157 (0.2403)	Prec@1 78.125 (80.882)	Prec@3 100.000 (97.794)	
2025-01-20 21:03:37,620 Test: [17/60]	Model Time 0.044 (0.043)	Loss Time 0.000 (0.000)	Loss 0.2077 (0.2384)	Prec@1 90.625 (81.424)	Prec@3 100.000 (97.917)	
2025-01-20 21:03:37,677 Test: [18/60]	Model Time 0.048 (0.043)	Loss Time 0.000 (0.000)	Loss 0.1879 (0.2358)	Prec@1 81.250 (81.414)	Prec@3 100.000 (98.026)	
2025-01-20 21:03:37,731 Test: [19/60]	Model Time 0.045 (0.043)	Loss Time 0.000 (0.000)	Loss 0.2592 (0.2370)	Prec@1 75.000 (81.094)	Prec@3 100.000 (98.125)	
2025-01-20 21:03:37,784 Test: [20/60]	Model Time 0.043 (0.043)	Loss Time 0.000 (0.000)	Loss 0.1747 (0.2340)	Prec@1 81.250 (81.101)	Prec@3 100.000 (98.214)	
2025-01-20 21:03:37,835 Test: [21/60]	Model Time 0.042 (0.043)	Loss Time 0.000 (0.000)	Loss 0.2011 (0.2325)	Prec@1 81.250 (81.108)	Prec@3 100.000 (98.295)	
